,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,frac_Expected Number of Deaths(1/3),frac_Expected Number of Deaths(2/5),frac_Expected Number of Deaths(4),frac_Dike Investment Costs(1/3),frac_Dike Investment Costs(2/5),frac_Dike Investment Costs(4),frac_RfR Total Costs,frac_Expected Evacuation Costs
0,8,2,9,7,5,1,0,0,1,0,3,1.0,0.25,0.95,0.0,1.0,0.0,1.0,1.0
1,4,5,9,6,8,1,0,1,1,1,1,1.0,0.75,0.9,1.0,0.0,0.0,1.0,1.0
2,3,8,7,3,9,1,1,1,1,0,1,0.95,0.95,0.55,1.0,0.0,0.0,1.0,1.0
3,9,9,9,10,9,0,1,0,1,0,3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
4,4,1,9,9,5,0,1,1,0,0,2,0.95,0.2,1.0,1.0,1.0,0.0,1.0,1.0
5,9,2,8,4,5,1,1,1,1,1,3,1.0,0.4,0.8,0.0,1.0,0.0,0.0,1.0
6,7,7,9,8,0,0,0,0,0,0,3,1.0,0.05,1.0,0.0,1.0,0.0,1.0,1.0
7,4,7,8,7,6,0,1,1,1,1,3,0.95,0.8,1.0,1.0,0.0,0.0,0.0,1.0
8,3,2,8,7,5,1,0,1,1,1,3,0.9,0.4,1.0,1.0,1.0,0.0,1.0,1.0
9,3,5,9,8,6,1,1,1,1,0,3,1.0,0.7,1.0,1.0,0.0,0.0,1.0,1.0
10,4,1,8,5,6,1,0,1,0,1,0,1.0,0.2,0.8,1.0,1.0,0.0,1.0,1.0
11,4,6,9,1,8,1,0,1,1,1,2,1.0,0.85,0.3,1.0,0.0,1.0,1.0,1.0
12,4,9,3,2,7,1,0,1,1,0,0,0.65,0.95,0.35,1.0,0.0,1.0,1.0,1.0
13,4,3,7,2,3,1,0,1,1,1,3,0.95,0.35,0.45,1.0,1.0,1.0,1.0,1.0
14,5,6,6,2,6,1,0,1,1,1,4,0.9,0.75,0.45,1.0,0.0,1.0,1.0,1.0
15,4,9,9,6,7,1,0,1,0,1,3,1.0,0.85,0.85,1.0,0.0,0.0,1.0,1.0
16,4,2,7,2,5,1,1,1,1,1,0,0.95,0.4,0.45,1.0,1.0,1.0,0.0,1.0
17,9,9,7,2,3,1,1,1,1,1,0,0.95,0.6,0.45,0.0,0.0,1.0,0.0,1.0
18,1,10,3,1,10,0,1,1,1,1,2,0.45,1.0,0.3,1.0,0.0,1.0,0.0,1.0
19,4,2,9,2,5,1,0,0,1,1,1,1.0,0.25,0.45,1.0,1.0,1.0,1.0,1.0
20,4,9,8,2,6,0,1,1,1,0,0,0.95,0.85,0.35,1.0,0.0,1.0,1.0,1.0
21,6,9,6,2,5,1,0,1,1,1,0,0.9,0.8,0.45,0.0,0.0,1.0,1.0,1.0
22,3,8,7,2,8,1,1,0,1,0,1,0.9,0.9,0.35,1.0,0.0,1.0,1.0,1.0
23,5,2,7,3,4,1,1,1,1,0,3,0.95,0.35,0.55,1.0,1.0,0.0,1.0,1.0
24,3,10,6,8,10,1,1,0,1,0,2,0.8,1.0,1.0,1.0,0.0,0.0,1.0,1.0
25,3,9,6,10,8,1,1,1,0,0,1,0.9,0.95,1.0,1.0,0.0,0.0,1.0,1.0
26,4,10,9,7,10,0,0,1,1,0,1,0.85,1.0,0.95,1.0,0.0,0.0,1.0,1.0
27,10,9,9,2,9,0,1,0,1,0,0,1.0,1.0,0.35,0.0,0.0,1.0,1.0,1.0
28,0,7,7,1,9,1,1,1,1,0,2,0.75,0.95,0.3,1.0,0.0,1.0,1.0,1.0
29,3,3,9,2,7,1,1,1,1,1,2,1.0,0.5,0.45,1.0,0.0,1.0,0.0,1.0
30,3,2,10,5,4,1,1,1,1,1,1,1.0,0.35,0.85,1.0,1.0,0.0,0.0,1.0
31,1,7,7,2,8,1,0,1,1,1,2,0.7,0.9,0.45,1.0,0.0,1.0,1.0,1.0
