,epsilon_progress,hypervolume,nfe
0,0,0.0,0
1,28,0.0010587975014548024,100
2,39,0.0013672479785760876,200
3,51,0.0018200053177948752,300
4,59,0.002413721362307008,400
5,70,0.0026479459816734496,500
6,78,0.0028009875109285503,600
7,97,0.002954422572686505,700
8,108,0.003402012900651803,800
9,115,0.003570214351184085,900
10,121,0.0035884903597449337,1000
11,126,0.0036322890493913655,1100
12,129,0.0036595568054393944,1200
13,133,0.0036641180805419434,1300
14,134,0.0036737240506489743,1400
15,134,0.0036737240506489743,1500
16,134,0.0036737240506489743,1600
17,135,0.003676106114108699,1700
18,135,0.003676106114108699,1800
19,137,0.0037000263715165366,1900
20,138,0.003700036897219882,2000
21,138,0.003700036897219882,2100
22,140,0.0037281304823751126,2200
23,141,0.0037291909957186072,2300
24,142,0.0037292609668424658,2400
25,143,0.00373706537556912,2500
26,143,0.00373706537556912,2600
27,143,0.00373706537556912,2700
28,144,0.0037445367236186265,2800
29,144,0.0037445367236186265,2900
30,144,0.0037445367236186265,3000
31,144,0.0037445367236186265,3100
32,144,0.0037445367236186265,3200
33,144,0.0037445367236186265,3300
34,144,0.0037445367236186265,3400
35,144,0.0037445367236186265,3500
36,144,0.0037445367236186265,3600
37,144,0.0037445367236186265,3700
38,144,0.0037445367236186265,3800
39,144,0.0037445367236186265,3900
40,144,0.0037445367236186265,4000
41,144,0.0037445367236186265,4100
42,144,0.0037445367236186265,4200
43,144,0.0037445367236186265,4300
44,144,0.0037445367236186265,4400
45,144,0.0037445367236186265,4500
46,144,0.0037445367236186265,4600
47,144,0.0037445367236186265,4700
48,144,0.0037445367236186265,4800
49,144,0.0037445367236186265,4900
