,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,Expected Number of Deaths(1/3),Expected Number of Deaths(2/5),Expected Number of Deaths(4),Dike Investment Costs(1/3),Dike Investment Costs(2/5),Dike Investment Costs(4),RfR Total Costs,Expected Evacuation Costs
0,9,0,0,1,4,0,0,0,0,1,2,0.16236529584990733,0.09627058196625485,0.0033717095078538315,63013976.87816578,29179620.34321382,6111949.7568392595,256100000.00000003,66432.2185025078
1,2,0,0,1,5,1,0,0,0,0,1,0.3938723487155083,0.23104939671901165,0.009336137758787031,34833919.81147707,31004768.565079123,6111949.7568392595,84600000.0,40241.88589345885
2,0,6,0,0,3,1,0,1,0,0,0,1.007329255323779,0.6281200694461772,0.02593371599663065,0.0,81427944.08808179,0.0,115300000.0,0.0
3,0,6,3,1,0,0,0,1,0,0,2,0.12723707387997735,0.0942180104169266,0.0038900573994945973,21877775.981299564,53986709.40172981,6111949.7568392595,30700000.0,54904.80700021601
4,0,4,6,0,0,1,0,1,0,0,0,0.044263923235072535,0.6281200694461772,0.02593371599663065,25666062.731524862,46648215.31366988,0.0,115300000.0,0.0
5,4,0,4,0,2,1,0,1,1,0,3,0.008392667737912142,0.065890182771232,0.0026212359420034405,64913502.723535255,25785870.637234025,0.0,236500000.0,48191.42330646289
6,3,0,0,2,0,1,1,0,0,0,0,1.0940898575430786,0.6418038797750323,0.02593371599663065,38236335.47388908,0.0,6855554.988995028,302400000.0,0.0
7,0,1,1,1,0,0,0,1,1,0,2,0.23642554546866723,0.08236272846404002,0.0032765449275043014,19628562.840069227,36981434.68571546,6111949.7568392595,151900000.0,70093.21936806223
8,7,0,0,0,7,1,0,1,0,0,3,0.11996025305901908,0.07537440833354127,0.0031120459195956773,53857936.79523132,34931116.629465275,0.0,115300000.0,82094.90818931715
9,1,0,1,6,0,1,0,0,1,0,3,0.1261853017971358,0.06744385337887336,0.0010747164586183394,51243165.897019506,0.0,10288445.546812398,205800000.0,75172.51164929825
10,1,0,0,2,0,1,0,1,0,1,0,0.9937105571132461,0.6281200694461772,0.02153793561851102,31614603.05695028,0.0,6855554.988995028,371400000.0,0.0
11,0,1,0,0,7,0,0,1,1,1,3,0.188740885210007,0.0629322402911909,0.002241733146279586,0.0,71912551.31518073,0.0,408000000.0,84235.7235102078
12,0,0,1,0,4,0,0,1,1,1,0,1.4521683488634562,0.5490848564269335,0.018681109552329885,19628562.840069227,29179620.34321382,0.0,408000000.0,0.0
13,2,0,1,0,5,0,0,1,0,0,2,0.15169796311547462,0.0942180104169266,0.0038900573994945973,54462482.6515463,31004768.565079123,0.0,30700000.0,66313.0332711128
14,5,0,0,4,0,0,0,0,0,1,0,1.0824353056660487,0.6418038797750323,0.016477787320579265,45625865.07268606,0.0,8475930.487777907,256100000.00000003,0.0
15,0,0,0,9,0,0,0,0,0,0,1,0.6083454330393254,0.23104939671901165,0.0005554355926601034,0.0,0.0,13409244.381847173,0.0,42919.02986681776
16,0,2,4,1,0,0,0,0,1,0,0,0.8643292135573168,0.5620321114906115,0.021843632850028674,23082898.413408656,40035568.95027335,6111949.7568392595,121200000.0,0.0
17,0,3,0,0,6,0,1,1,0,0,1,0.36381988277763694,0.2261232250006238,0.009336137758787031,0.0,76175825.73447946,0.0,248500000.0,39887.54605451039
18,0,5,1,0,6,0,0,0,0,0,4,0.20278181101310847,0.07701646557300387,0.0031120459195956773,19628562.840069227,83143137.3641768,0.0,0.0,108448.03863263733
19,6,0,10,3,0,0,0,0,0,0,0,0.0,0.6418038797750323,0.02475436231362238,81228732.23542452,0.0,7642842.87314358,0.0,0.0
20,0,0,0,2,1,0,0,0,0,0,1,0.6083454330393254,0.23104939671901165,0.009336137758787031,0.0,24209939.73055957,6855554.988995028,0.0,45069.31475642071
21,9,0,1,0,3,1,0,0,0,0,1,0.3938723487155083,0.23104939671901165,0.009336137758787031,82642539.71823502,27441234.686351985,0.0,84600000.0,40241.88589345885
22,0,0,2,3,0,0,0,1,1,1,1,0.39827200036749155,0.19767054831369602,0.005119144356763601,20727091.370783716,0.0,7642842.87314358,408000000.0,34125.63122288864
23,1,3,0,1,4,0,0,0,0,0,3,0.13951609341807467,0.07701646557300387,0.0031120459195956773,31614603.05695028,72434867.0450272,6111949.7568392595,0.0,84330.01192051443
24,5,0,1,1,0,0,0,0,1,1,1,0.37483931144500915,0.20233156013662007,0.006725199438838758,65254427.91275529,0.0,6111949.7568392595,377300000.0,37555.52492765868
25,0,7,0,1,0,0,0,1,0,0,0,1.5954273430579846,0.6005021686867998,0.02593371599663065,0.0,57949466.75919872,6111949.7568392595,30700000.0,0.0
26,7,0,0,2,0,0,0,1,0,0,0,0.9996687754918258,0.6281200694461772,0.02593371599663065,53857936.79523132,0.0,6855554.988995028,30700000.0,0.0
27,0,5,0,0,7,0,0,0,0,0,4,0.20278181101310847,0.07701646557300387,0.0031120459195956773,0.0,85153674.960976,0.0,0.0,108448.03863263733
28,4,0,3,1,1,1,1,1,1,1,1,0.05424153843034625,0.19767054831369602,0.006725199438838758,63708380.29142616,24209939.73055957,6111949.7568392595,710400000.0,24330.39491113897
29,3,0,3,1,4,0,0,1,0,1,1,0.09003049745168734,0.2261232250006238,0.008092102818849192,60114111.45518865,29179620.34321382,6111949.7568392595,286800000.0,28039.43557066006
