,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,Expected Number of Deaths(1/3),Expected Number of Deaths(2/5),Expected Number of Deaths(4),Dike Investment Costs(1/3),Dike Investment Costs(2/5),Dike Investment Costs(4),RfR Total Costs,Expected Evacuation Costs
0,10,0,8,2,0,1,0,1,0,0,0,0.004786342282136876,0.6281200694461772,0.02593371599663065,96462705.47527671,0.0,6855554.988995028,115300000.0,0.0
1,6,6,9,8,6,0,0,1,0,0,2,0.0,0.0942180104169266,0.0004018695990539319,79643467.38711806,86907288.43439588,12311982.23454428,30700000.0,37840.483235292486
2,0,6,0,0,2,0,0,1,0,1,0,1.5894691246794048,0.6281200694461772,0.022478063385692203,0.0,79772580.03896382,0.0,286800000.0,0.0
3,10,2,5,10,7,0,0,0,0,0,0,0.1065714995319008,0.6418038797750323,0.0007315512307190693,92310731.88219884,74966685.57973862,14567119.248281786,0.0,0.0
4,0,6,3,1,0,1,0,1,0,1,1,0.0927882701911905,0.2261232250006238,0.008092102818849192,21877775.981299564,53986709.40172981,6111949.7568392595,371400000.0,28098.754431409463
5,0,6,7,9,1,0,0,1,0,0,3,0.07357310535828732,0.07537440833354127,0.00018514519755336782,27049158.766315375,78196649.13228938,13409244.381847173,30700000.0,57239.466608118375
6,3,4,1,8,6,0,1,0,0,0,0,1.0940898575430786,0.6418038797750323,0.0026791306603595453,57864898.31395831,79568794.34633595,12311982.23454428,217800000.0,0.0
7,1,5,5,4,0,0,0,1,1,1,4,0.014514628581336161,0.065890182771232,0.001396467298523758,55959438.50408222,50222558.33151072,8475930.487777907,408000000.0,54734.46351601268
8,1,5,3,2,5,0,1,0,0,0,0,0.8214473374513773,0.6418038797750323,0.02593371599663065,53492379.03824984,81227326.89658985,6855554.988995028,217800000.0,0.0
9,0,10,6,9,9,0,0,1,0,0,0,0.632362010969278,0.2812063813305685,0.0015428766462780652,25666062.731524862,110376647.88097355,13409244.381847173,30700000.0,0.0
10,4,2,6,3,7,1,0,0,0,0,3,0.006599014127484908,0.07701646557300387,0.0029705234776346854,67496667.04165146,74966685.57973862,7642842.87314358,84600000.0,52749.60019178011
11,0,1,9,3,8,1,0,1,1,0,0,0.007660479831953228,0.45062876935790025,0.018476618420080172,30011810.331924353,74022052.86424348,7642842.87314358,236500000.0,0.0
12,2,0,2,7,9,1,1,0,0,0,3,0.13129078290516943,0.06169983554068628,0.0005496607713587163,55561011.18226079,39253499.44675949,11272591.42225772,302400000.0,67713.0455393557
13,3,8,7,3,2,0,0,1,0,0,1,0.006246231751044876,0.18641527336589586,0.008911570432904055,65285494.24020445,87905878.93357646,7642842.87314358,30700000.0,21032.96932865642
14,0,9,10,1,6,1,0,1,0,0,1,0.002757772739503162,0.1596070574339153,0.009336137758787031,31597075.18023081,99428486.26901613,6111949.7568392595,115300000.0,18618.76824243729
15,3,0,2,1,9,0,0,0,1,0,3,0.1261853017971358,0.051078351814387274,0.0026212359420034405,58963426.8446728,39253499.44675949,6111949.7568392595,121200000.0,65053.25736776025
16,10,10,8,10,0,0,0,1,0,0,3,0.0005743610738564251,0.04906139579198581,8.778614768628832e-05,96462705.47527671,71123148.43421406,14567119.248281786,30700000.0,31687.722641119737
17,2,0,1,3,8,1,1,0,1,0,0,1.0515441816427984,0.46357602442157825,0.018476618420080172,54462482.6515463,37040618.17852801,7642842.87314358,423600000.0,0.0
18,4,0,9,9,4,0,1,0,0,0,1,0.002905089316702441,0.23104939671901165,0.0005554355926601034,71842414.64205095,29179620.34321382,13409244.381847173,217800000.0,23038.984978005996
19,0,6,5,9,6,1,0,1,0,0,2,0.0091316945833996,0.0942180104169266,0.0002314314969417098,24344835.447131943,86907288.43439588,13409244.381847173,115300000.0,38872.63502875674
20,2,0,3,1,9,0,1,0,0,1,4,0.09039397100011144,0.06169983554068628,0.002697367606283065,56711695.79277664,39253499.44675949,6111949.7568392595,473900000.0,71139.25171896807
21,9,0,0,1,4,0,0,0,0,1,2,0.16236529584990733,0.09627058196625485,0.0033717095078538315,63013976.87816578,29179620.34321382,6111949.7568392595,256100000.00000003,66432.2185025078
22,2,2,5,0,4,0,0,1,1,0,2,0.009633489381852963,0.08236272846404002,0.0032765449275043014,59178755.25860901,69215189.29348716,0.0,151900000.0,38646.651902447935
