,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,Expected Number of Deaths(1/3),Expected Number of Deaths(2/5),Expected Number of Deaths(4),Dike Investment Costs(1/3),Dike Investment Costs(2/5),Dike Investment Costs(4),RfR Total Costs,Expected Evacuation Costs
0,0,10,6,0,7,0,0,1,1,0,1,0.0,0.0,0.0,25666062.731524862,106054265.06367934,0.0,151900000.0,0.0
1,8,7,0,5,3,1,0,0,0,0,1,0.0,0.0,0.0,58315095.450971164,85390701.44555071,9357028.590224184,84600000.0,0.0
2,1,7,3,2,6,0,1,0,0,0,3,0.0,0.0,0.0,53492379.03824984,90870045.79186478,6855554.988995028,217800000.0,0.0
3,0,0,8,5,7,1,0,1,0,1,0,0.0,0.0,0.0,28496809.040209822,34931116.629465275,9357028.590224184,371400000.0,0.0
4,2,9,4,0,6,1,0,0,1,0,4,0.0,0.0,0.0,57916818.22488573,99428486.26901613,0.0,205800000.0,0.0
5,9,0,8,0,7,1,0,0,0,1,0,0.0,0.0,0.0,91510785.91837561,34931116.629465275,0.0,340700000.0,0.0
6,0,3,0,1,2,0,1,0,0,1,4,0.0,0.0,0.0,0.0,69041117.3390474,6111949.7568392595,473900000.0,0.0
7,8,6,8,0,0,1,1,0,0,0,1,0.0,0.0,3.7076340802242494e-05,86811904.49118099,53986709.40172981,0.0,302400000.0,5.51022833045737
8,8,3,7,8,4,0,0,0,0,0,1,0.0,0.0,0.0,85364254.21728654,72434867.0450272,12311982.23454428,0.0,0.0
9,0,9,2,6,2,1,0,0,0,0,2,0.0,0.0,0.0,20727091.370783716,92293777.87358409,10288445.546812398,84600000.0,0.0
10,2,0,1,9,0,0,1,1,0,1,1,0.0,0.0,0.0,54462482.6515463,0.0,13409244.381847173,504600000.0,0.0
11,0,4,9,9,6,1,0,0,0,0,1,0.0,0.0,0.0,30011810.331924353,79568794.34633595,13409244.381847173,84600000.0,0.0
12,6,4,1,1,6,0,0,1,0,0,4,0.0,0.0,0.0,69260219.89526293,79568794.34633595,6111949.7568392595,30700000.0,0.0
13,3,9,4,1,0,1,0,0,1,0,1,0.0,0.0,0.0,61319233.887297735,66507907.23635007,6111949.7568392595,205800000.0,0.0
14,8,3,0,0,8,0,0,1,1,1,1,0.0,0.0,0.0,58315095.450971164,80295864.8803414,0.0,408000000.0,0.0
15,4,0,0,6,6,1,0,1,0,0,4,0.0,0.0,0.0,41830604.310126595,32920579.03266607,10288445.546812398,115300000.0,0.0
16,1,5,10,6,4,0,0,1,0,0,2,0.0,0.0,0.0,63211678.23718109,79402178.67472455,10288445.546812398,30700000.0,0.0
17,1,2,7,9,7,0,0,1,0,0,3,0.0,0.0,0.0,58663761.82326566,74966685.57973862,13409244.381847173,30700000.0,0.0
18,6,8,1,1,7,0,0,0,0,0,1,0.0,0.0,0.0,69260219.89526293,97051124.92580771,6111949.7568392595,0.0,0.0
19,0,1,10,5,9,0,1,1,0,0,0,0.0,0.0,0.0,31597075.18023081,76234934.13247496,9357028.590224184,248500000.0,0.0
20,0,9,4,6,1,1,0,0,1,0,2,0.0,0.0,0.0,23082898.413408656,90717846.96690963,10288445.546812398,205800000.0,0.0
21,6,9,0,1,7,1,0,0,1,0,4,0.0,0.0,0.0,49631657.05519371,101439023.86581534,6111949.7568392595,205800000.0,0.0
22,2,8,5,0,6,1,0,0,1,0,2,0.0,0.0,0.0,59178755.25860901,95040587.3290085,0.0,205800000.0,0.0
23,2,5,6,4,8,0,0,1,1,0,2,0.0,0.0,0.0,60499982.543001935,87263176.51003873,8475930.487777907,151900000.0,0.0
24,0,6,8,8,6,0,0,1,0,0,3,0.0,0.0,0.0,28496809.040209822,86907288.43439588,12311982.23454428,30700000.0,0.0
25,0,3,1,7,0,0,1,0,1,1,1,0.0,0.0,0.0,19628562.840069227,43255246.701813385,11272591.42225772,595100000.0,0.0
26,0,4,0,2,2,0,0,0,0,1,2,0.0,0.0,0.0,0.0,72434085.9509039,6855554.988995028,256100000.00000003,0.0
27,1,0,0,6,1,0,0,1,1,0,3,0.0,0.0,0.0,31614603.05695028,24209939.73055957,10288445.546812398,151900000.0,0.0
28,7,1,2,5,4,1,0,1,0,0,2,0.0,0.0,0.0,74585028.16601503,66161055.02892928,9357028.590224184,115300000.0,0.0
29,0,2,9,1,7,0,0,1,0,1,0,0.0,0.0,0.0,30011810.331924353,74966685.57973862,6111949.7568392595,286800000.0,0.0
30,7,3,0,0,1,1,1,0,1,1,3,0.0,0.0,0.0,53857936.79523132,67465186.43237296,0.0,679700000.0,0.0
31,3,0,0,1,4,0,1,1,0,0,4,0.0,0.0,0.0,38236335.47388908,29179620.34321382,6111949.7568392595,248500000.0,0.0
