,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,Expected Number of Deaths(1/3),Expected Number of Deaths(2/5),Expected Number of Deaths(4),Dike Investment Costs(1/3),Dike Investment Costs(2/5),Dike Investment Costs(4),RfR Total Costs,Expected Evacuation Costs
0,0,0,1,5,0,0,0,0,1,0,1,0.0,0.0,0.0,19628562.840069227,0.0,9357028.590224184,121200000.0,0.0
1,0,0,0,7,7,0,0,1,0,0,2,0.0,0.0,0.0,0.0,34931116.629465275,11272591.42225772,30700000.0,0.0
2,4,0,8,2,0,1,0,1,0,0,0,0.0,0.0,0.0,70327413.35033642,0.0,6855554.988995028,115300000.0,0.0
3,0,0,2,2,3,0,0,0,0,1,1,0.0,0.0,0.0,20727091.370783716,27441234.686351985,6855554.988995028,256100000.00000003,0.0
4,0,0,0,1,4,0,1,1,1,0,4,0.0,0.0,0.0,0.0,29179620.34321382,6111949.7568392595,369700000.0,0.0
5,0,0,0,1,5,1,0,1,1,0,0,0.0,0.0,0.0,0.0,31004768.565079123,6111949.7568392595,236500000.0,0.0
6,0,1,4,0,0,0,0,1,1,0,3,0.0,0.0,0.0,23082898.413408656,36981434.68571546,0.0,151900000.0,0.0
7,1,0,1,0,7,0,1,1,0,0,2,0.0,0.0,1.544847533426771e-05,51243165.897019506,34931116.629465275,0.0,248500000.0,9.147840001735867
8,8,0,8,0,0,1,1,0,0,0,1,0.0,0.0,3.7076340802242494e-05,86811904.49118099,0.0,0.0,302400000.0,5.51022833045737
9,2,0,6,1,4,1,0,0,1,0,0,0.0,0.0,0.0,60499982.543001935,29179620.34321382,6111949.7568392595,205800000.0,0.0
10,0,0,2,0,6,0,0,0,0,1,0,0.0,0.0,0.0,20727091.370783716,32920579.03266607,0.0,256100000.00000003,0.0
11,0,0,6,3,0,0,0,0,0,0,1,0.0,0.0,0.0,25666062.731524862,0.0,7642842.87314358,0.0,0.0
12,0,0,4,6,1,0,0,1,0,0,3,0.0,0.0,0.0,23082898.413408656,24209939.73055957,10288445.546812398,30700000.0,0.0
13,7,0,6,2,0,0,0,0,0,0,4,0.0,0.0,0.0,79523999.52675618,0.0,6855554.988995028,0.0,0.0
14,0,1,0,6,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,36981434.68571546,10288445.546812398,0.0,0.0
15,4,0,1,2,0,0,0,1,1,0,0,0.0,0.0,0.0,61459167.15019582,0.0,6855554.988995028,151900000.0,0.0
16,3,0,2,0,5,1,0,1,0,1,2,0.0,0.0,0.0,58963426.8446728,31004768.565079123,0.0,371400000.0,0.0
17,2,0,1,2,0,1,1,0,1,0,1,0.0,0.0,0.0,54462482.6515463,0.0,6855554.988995028,423600000.0,0.0
18,0,0,3,2,1,1,0,0,0,0,0,0.0,0.0,0.0,21877775.981299564,24209939.73055957,6855554.988995028,84600000.0,0.0
19,0,3,0,0,0,0,0,0,0,0,3,0.0,0.0,1.2358780267414166e-05,0.0,43255246.701813385,0.0,0.0,11.364845931568324
20,1,0,0,1,4,0,1,1,0,0,4,0.0,0.0,0.0,31614603.05695028,29179620.34321382,6111949.7568392595,248500000.0,0.0
21,0,0,1,0,7,0,1,1,1,0,2,0.0,0.0,0.0,19628562.840069227,34931116.629465275,0.0,369700000.0,0.0
22,5,0,0,1,5,0,0,1,0,0,2,0.0,0.0,0.0,45625865.07268606,31004768.565079123,6111949.7568392595,30700000.0,0.0
